2020-04-07 12:14:11.851 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121411.850/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:12.021 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121412.020/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:12.217 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121412.215/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:12.380 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121412.379/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:12.553 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121412.552/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:12.714 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121412.713/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:12.825 -0600	runwithnewresults		Logout.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Logout/20200407_121412.824/LogFile.txt)	19	on_main01	Main01.script
2020-04-07 12:14:12.934 -0600	Exception		Unable to locate script named: index	1	on_states_report	States/Report.script
2020-04-07 12:14:13.384 -0600	EndTestCase		(Duration:"12.814461", Errors:"1", Exceptions:"1", StartTime:"2020-04-07 12:14:00 -0600", Successes:"49", TestCase:"Main01.script", Warnings:"0")
2020-04-07 12:14:13.435 -0600	FAILURE	Screen_Error.png	Error Running Script Command scriptresults Error - Unable to locate script named: index -- Execution Time 0:00:12 Main01.script
